turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,6.52607152055473,0.0004034735247734585
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,252.8852714214958,0.0006917787869759457
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,717.8678672610203,0.0004393730521882414
data-WTG515,6,1454781000000,1454781600000_1454781000000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1435.7357345220405,
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,323.24844205052005,0.0007428318427408815
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,363.84969564140664,0.0020622227335310647
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,6.246346706290243,0.0005621414196110755
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,242.04593486874688,0.00040217621927465303
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,687.0981376919267,0.0003548729346308318
data-WTG515,6,1454750700000,1454760000000_1454750700000_21600_HPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1374.1962753838534,
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,264.7413889301634,0.0004647466008513658
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,297.99393053491826,0.00036980671095697485
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,5.1157756315007425,0.00010131819472138879
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,198.23630572065377,0.00036636457775540514
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,562.7353194650817,0.001974536769233383
data-WTG515,6,1454954400000,1454954400000_1454954400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1125.4706389301634,0.002388926589160389
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,265.92251411589893,0.0004289993583106457
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,299.3234096087172,0.0003994228726040268
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,5.13859930658742,0.0001839968066237035
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,199.12072313026252,0.0005418719749207503
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF1x,565.2459237246162,0.0018623644746652967
data-WTG515,6,1454738400000,1454738400000_1454738400000_21600_LPC.06.0AR1K.64.cms,GBX-Out_Pinion,GMF2x,1130.4918474492324,0.0023289722641571904
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFO,60.14076909361069,0.00024429738043750396
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BPFI,67.69468211986131,0.00016454721407113278
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,FTF,1.1621404655770184,0.0003057344197572441
data-WTG515,6,1459074600000,1459080000000_1459074600000_21600_LPC.06.0AR1K.64.cms,GBX_OUT_BRG1,BSF2,45.03294304110946,0.0001467177592467953
